DuplicatedImage,OriginalImage
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_188.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_157.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_197.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_187.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_200.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_190.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_201.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_189.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_202.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_157.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_203.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_191.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_204.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_192.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_205.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_193.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_206.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_195.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_207.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_196.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_208.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_194.png
